model,task,mode,nshot,kmaj,accuracy_kmaj,accuracy_kmaj_std,accuracy_kmaj_ci
starcoderplus,folio,cot,4,7,0.3672252747252747,0.019636055073706273,0.020435352044363635
starcoderplus,folio,cot,4,8,0.36713186813186816,0.01916698684866511,0.019947190126118834
starcoderplus,folio,cot,4,9,0.3662032967032967,0.019930593703917934,0.020741880039750023
starcoderplus,folio,cot,4,10,0.3654835164835165,0.018782592330796502,0.019547148607235186
starcoderplus,folio,cot,8,1,0.401445054945055,0.01648629189088791,0.017157375930747065
starcoderplus,folio,cot,8,2,0.40266483516483526,0.018244550792473023,0.018987205777127005
starcoderplus,folio,cot,8,3,0.40871978021978034,0.018179450553103965,0.018919455594889
starcoderplus,folio,cot,8,4,0.4093351648351649,0.018391414932500922,0.019140048106856544
starcoderplus,folio,cot,8,5,0.4116703296703298,0.017054421086320763,0.017748631153436768
starcoderplus,folio,cot,8,6,0.4126923076923078,0.017073595642278158,0.017768586220776563
starcoderplus,folio,cot,8,7,0.41285164835164845,0.016178197053322962,0.01683673991475211
starcoderplus,folio,cot,8,8,0.41226373626373636,0.016149524726599876,0.016806900464398263
starcoderplus,folio,cot,8,9,0.4133461538461539,0.015498556675596844,0.016129434382644737
starcoderplus,folio,cot,8,10,0.4136923076923078,0.015576449204955569,0.016210497572429886
starcoderplus,folio,neurosymbolic,1,1,0.2080384615384616,0.015149529423656756,0.015766199774690143
starcoderplus,folio,neurosymbolic,1,2,0.27889010989010987,0.0309255429087735,0.03218438500664562
starcoderplus,folio,neurosymbolic,1,3,0.318021978021978,0.03349918487113607,0.0348627885525519
starcoderplus,folio,neurosymbolic,1,4,0.34335164835164833,0.0324566257712433,0.033777791481939066
starcoderplus,folio,neurosymbolic,1,5,0.36300549450549446,0.032635008887634806,0.03396343578618185
starcoderplus,folio,neurosymbolic,1,6,0.3780274725274726,0.031071610263651978,0.032336398117625724
starcoderplus,folio,neurosymbolic,1,7,0.3858736263736264,0.030280936619756955,0.031513539646077095
starcoderplus,folio,neurosymbolic,1,8,0.3963351648351649,0.02870284180428114,0.02987120756905943
starcoderplus,folio,neurosymbolic,1,9,0.4033186813186815,0.026963853399880906,0.028061432636589886
starcoderplus,folio,neurosymbolic,1,10,0.40976373626373636,0.026095182499688827,0.027157401985347225
starcoderplus,folio,neurosymbolic,2,1,0.283587912087912,0.02700549785921078,0.02810477225770567
starcoderplus,folio,neurosymbolic,2,2,0.34227472527472524,0.0318480251082654,0.033144417377226953
starcoderplus,folio,neurosymbolic,2,3,0.37296153846153846,0.02860435497077828,0.029768711772077242
starcoderplus,folio,neurosymbolic,2,4,0.3875934065934066,0.02524977028905017,0.026277576782058887
starcoderplus,folio,neurosymbolic,2,5,0.3972802197802199,0.024224460941570457,0.02521053162500077
starcoderplus,folio,neurosymbolic,2,6,0.4042857142857144,0.022570048215279543,0.023488775072499468
starcoderplus,folio,neurosymbolic,2,7,0.4112802197802199,0.023283605456578274,0.024231378073713818
starcoderplus,folio,neurosymbolic,2,8,0.4145384615384616,0.02005387924309245,0.020870183988050923
starcoderplus,folio,neurosymbolic,2,9,0.41790659340659353,0.020109829309942314,0.02092841153470889
starcoderplus,folio,neurosymbolic,2,10,0.4213461538461539,0.020060419996318423,0.020876990986417262
starcoderplus,folio,neurosymbolic,4,1,0.34371978021978017,0.023116626624975725,0.024057602272263563
starcoderplus,folio,neurosymbolic,4,2,0.3996813186813188,0.030496948719073047,0.03173834464274251
starcoderplus,folio,neurosymbolic,4,3,0.43036813186813194,0.02950507039210608,0.030706091335208952
starcoderplus,folio,neurosymbolic,4,4,0.44739010989011,0.028185460949077402,0.029332766427118448
starcoderplus,folio,neurosymbolic,4,5,0.46115384615384625,0.026696229788894014,0.02778291525184165
starcoderplus,folio,neurosymbolic,4,6,0.4697912087912089,0.026684294328701945,0.02777049395184423
starcoderplus,folio,neurosymbolic,4,7,0.47607142857142865,0.02470877043791448,0.025714555219305678
starcoderplus,folio,neurosymbolic,4,8,0.4825439560439561,0.024230501979538376,0.02521681856691066
starcoderplus,folio,neurosymbolic,4,9,0.4873901098901099,0.02382105771635168,0.024790707638347967
starcoderplus,folio,neurosymbolic,4,10,0.49182967032967034,0.023102962153857556,0.024043381580950995
starcoderplus,folio,neurosymbolic,8,1,0.33268131868131867,0.022472256104113974,0.023387002276928838
starcoderplus,folio,neurosymbolic,8,2,0.4023736263736265,0.033656784352563404,0.03502680321195716
starcoderplus,folio,neurosymbolic,8,3,0.4399945054945056,0.03201498892329913,0.03331817755085027
starcoderplus,folio,neurosymbolic,8,4,0.45937362637362644,0.030811766125484034,0.032065976873633766
starcoderplus,folio,neurosymbolic,8,5,0.4743351648351649,0.02865939490910392,0.029825992142903386
starcoderplus,folio,neurosymbolic,8,6,0.4842472527472528,0.027716123872602295,0.0288443247136867
starcoderplus,folio,neurosymbolic,8,7,0.49180219780219786,0.026917433810930518,0.028013123511442542
starcoderplus,folio,neurosymbolic,8,8,0.49763186813186816,0.02597991326021107,0.027037440644855353
starcoderplus,folio,neurosymbolic,8,9,0.5035274725274725,0.02436603246776179,0.025357865901988602
starcoderplus,folio,neurosymbolic,8,10,0.5043626373626374,0.022870323228567566,0.02380127295375075
starcoderplus,proofwriter,baseline,8,1,0.36368055555555556,0.026263940301965074,0.027333029171500624
starcoderplus,proofwriter,baseline,8,2,0.3633444444444444,0.027251908982856163,0.02836121368855516
starcoderplus,proofwriter,baseline,8,3,0.3697611111111111,0.025646728066048254,0.026690692954795953
